epoch,accuracy,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,learning_rate,loss,mean_io_u_1,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_dice_coef_edema,val_dice_coef_enhancing,val_dice_coef_necrotic,val_loss,val_mean_io_u_1,val_precision,val_sensitivity,val_specificity
11,0.990622878074646,0.4502636790275574,0.5110164284706116,0.42500555515289307,0.42055556178092957,0.0003000000142492354,0.027930065989494324,0.700002133846283,0.9944304823875427,0.9864784479141235,0.9980238080024719,0.9875087141990662,0.44291162490844727,0.47832491993904114,0.3293393850326538,0.36127856373786926,0.03704545274376869,0.7747496962547302,0.9911889433860779,0.9843866229057312,0.9969815015792847
12,0.9907493591308594,0.4522378444671631,0.5496220588684082,0.39130669832229614,0.39149075746536255,0.0003000000142492354,0.028155798092484474,0.7349838614463806,0.9943796992301941,0.986653745174408,0.9979979395866394,0.988003671169281,0.42607781291007996,0.4963065981864929,0.3544557988643646,0.4034096896648407,0.03778737783432007,0.6813471913337708,0.9939777255058289,0.9826708436012268,0.9978089928627014
13,0.9907042980194092,0.45998772978782654,0.5523556470870972,0.43031367659568787,0.42515718936920166,0.0003000000142492354,0.027408946305513382,0.7721220254898071,0.994336724281311,0.9868236184120178,0.997992992401123,0.9884386658668518,0.4521943926811218,0.499950110912323,0.44799745082855225,0.3892943263053894,0.03387404978275299,0.7360267043113708,0.9932645559310913,0.9837514758110046,0.9976189732551575
14,0.9913263916969299,0.47476765513420105,0.5737035870552063,0.46340739727020264,0.4303593337535858,0.0003000000142492354,0.025237932801246643,0.7871891260147095,0.9946809411048889,0.9874075651168823,0.9981118440628052,0.9873095154762268,0.44053611159324646,0.4420841932296753,0.37264910340309143,0.32421398162841797,0.038645267486572266,0.8145760297775269,0.9909865260124207,0.9845448136329651,0.9969248175621033
15,0.9913293123245239,0.48430338501930237,0.5893499851226807,0.5034675598144531,0.41668158769607544,0.0003000000142492354,0.024435995146632195,0.8083863258361816,0.9945631623268127,0.9876543879508972,0.998075544834137,0.9883736371994019,0.4772050678730011,0.5661380290985107,0.4592300355434418,0.3956417143344879,0.03212723135948181,0.793316662311554,0.9924001097679138,0.9850283265113831,0.997366189956665
16,0.9916768074035645,0.498024046421051,0.6238467693328857,0.4944498836994171,0.45247140526771545,0.0003000000142492354,0.022739335894584656,0.7627701759338379,0.9946668744087219,0.9884986281394958,0.9981153011322021,0.9892269968986511,0.4817277193069458,0.5705567002296448,0.42042553424835205,0.4362630546092987,0.03285279497504234,0.7990128993988037,0.9929074645042419,0.985255241394043,0.9975109696388245
17,0.9918543100357056,0.49548837542533875,0.6216612458229065,0.509385347366333,0.43305373191833496,0.0003000000142492354,0.022756921127438545,0.8111886978149414,0.9948002099990845,0.9884693622589111,0.9981610178947449,0.9892383813858032,0.48146316409111023,0.5814647674560547,0.45029929280281067,0.35501548647880554,0.03175488859415054,0.7939765453338623,0.992233395576477,0.9860421419143677,0.997312605381012
18,0.9921608567237854,0.5021287798881531,0.6371552348136902,0.49084609746932983,0.45122915506362915,0.0003000000142492354,0.0215778686106205,0.7954556345939636,0.994755208492279,0.9891684651374817,0.9981552362442017,0.9891506433486938,0.4803316295146942,0.587946355342865,0.3653912842273712,0.4129887819290161,0.03346491605043411,0.8057887554168701,0.9917231798171997,0.9868594408035278,0.9971631169319153
19,0.9917097091674805,0.4913705587387085,0.6221959590911865,0.45237717032432556,0.4478610157966614,0.0003000000142492354,0.02354280650615692,0.8204787969589233,0.9943991303443909,0.9888458251953125,0.9980466961860657,0.9888727068901062,0.4579318165779114,0.48883020877838135,0.44183817505836487,0.4538572132587433,0.03202196583151817,0.803146481513977,0.9940247535705566,0.9837431311607361,0.9978399872779846
20,0.9923622608184814,0.5110561847686768,0.644586443901062,0.5146674513816833,0.4770492613315582,6.000000212225132e-05,0.020887456834316254,0.8400545120239258,0.995006263256073,0.9892458915710449,0.9982370138168335,0.9898832440376282,0.502868115901947,0.6227724552154541,0.5134660601615906,0.39518535137176514,0.02927973121404648,0.8001619577407837,0.9929252862930298,0.98680579662323,0.9975343346595764
21,0.992629885673523,0.5257884860038757,0.6747099161148071,0.5368818044662476,0.4930751621723175,6.000000212225132e-05,0.019837288185954094,0.833514392375946,0.9947765469551086,0.9900549054145813,0.9981765151023865,0.9900807738304138,0.49752500653266907,0.611723005771637,0.5052897930145264,0.4107643961906433,0.027985142543911934,0.767755389213562,0.9930611252784729,0.9869373440742493,0.9975858926773071
22,0.9926701784133911,0.5339714288711548,0.6901901960372925,0.5547088384628296,0.4874590039253235,6.000000212225132e-05,0.019485583528876305,0.8324716687202454,0.9947532415390015,0.9901814460754395,0.9981744289398193,0.9901053309440613,0.5086495876312256,0.6377612352371216,0.510280191898346,0.46045780181884766,0.02766437642276287,0.7896437644958496,0.9931656718254089,0.9868864417076111,0.9976139664649963
23,0.9928510189056396,0.532309889793396,0.6882346868515015,0.5327311158180237,0.4883137047290802,6.000000212225132e-05,0.01882883347570896,0.8474395275115967,0.9947920441627502,0.9905353784561157,0.9981898665428162,0.9901475310325623,0.5200856924057007,0.6358515024185181,0.5126399397850037,0.4841100573539734,0.027929453179240227,0.8041640520095825,0.9928191304206848,0.9872153997421265,0.9975149035453796
24,0.9930640459060669,0.5475517511367798,0.6890100836753845,0.5578122735023499,0.5030133128166199,6.000000212225132e-05,0.018446750938892365,0.8495707511901855,0.9951338768005371,0.9905526041984558,0.9982954859733582,0.9899842739105225,0.5160960555076599,0.6587703227996826,0.5009822249412537,0.38099077343940735,0.028822291642427444,0.8215716481208801,0.9917497634887695,0.9880172610282898,0.9971898794174194
