Batch Index,Subject IDs
57,"BraTS20_Training_090,BraTS20_Training_026"
58,"BraTS20_Training_066,BraTS20_Training_238"
59,"BraTS20_Training_182,BraTS20_Training_211"
60,"BraTS20_Training_179,BraTS20_Training_120"
61,"BraTS20_Training_254,BraTS20_Training_277"
62,"BraTS20_Training_072,BraTS20_Training_216"
63,"BraTS20_Training_320,BraTS20_Training_098"
64,"BraTS20_Training_030,BraTS20_Training_165"
65,"BraTS20_Training_205,BraTS20_Training_239"
66,"BraTS20_Training_247,BraTS20_Training_123"
67,"BraTS20_Training_070,BraTS20_Training_343"
68,"BraTS20_Training_188,BraTS20_Training_251"
69,"BraTS20_Training_299,BraTS20_Training_105"
70,"BraTS20_Training_005,BraTS20_Training_331"
71,"BraTS20_Training_010,BraTS20_Training_027"
72,"BraTS20_Training_017,BraTS20_Training_109"
73,"BraTS20_Training_181,BraTS20_Training_065"
74,"BraTS20_Training_248,BraTS20_Training_297"
75,"BraTS20_Training_218,BraTS20_Training_126"
76,"BraTS20_Training_229,BraTS20_Training_111"
77,"BraTS20_Training_190,BraTS20_Training_141"
78,"BraTS20_Training_347,BraTS20_Training_149"
79,"BraTS20_Training_280,BraTS20_Training_150"
80,"BraTS20_Training_358,BraTS20_Training_051"
81,"BraTS20_Training_152,BraTS20_Training_324"
82,"BraTS20_Training_187,BraTS20_Training_298"
83,"BraTS20_Training_089,BraTS20_Training_295"
84,"BraTS20_Training_204,BraTS20_Training_143"
85,"BraTS20_Training_025,BraTS20_Training_174"
86,"BraTS20_Training_052,BraTS20_Training_317"
87,"BraTS20_Training_163,BraTS20_Training_095"
88,"BraTS20_Training_264,BraTS20_Training_057"
89,"BraTS20_Training_096,BraTS20_Training_009"
90,"BraTS20_Training_016,BraTS20_Training_231"
91,"BraTS20_Training_241,BraTS20_Training_138"
92,"BraTS20_Training_192,BraTS20_Training_142"
93,"BraTS20_Training_178,BraTS20_Training_118"
94,"BraTS20_Training_243,BraTS20_Training_310"
95,"BraTS20_Training_161,BraTS20_Training_137"
96,"BraTS20_Training_306,BraTS20_Training_081"
97,"BraTS20_Training_279,BraTS20_Training_033"
98,"BraTS20_Training_348,BraTS20_Training_186"
99,"BraTS20_Training_024,BraTS20_Training_262"
100,"BraTS20_Training_273,BraTS20_Training_136"
101,"BraTS20_Training_340,BraTS20_Training_061"
102,"BraTS20_Training_197,BraTS20_Training_162"
103,"BraTS20_Training_183,BraTS20_Training_333"
104,"BraTS20_Training_038,BraTS20_Training_210"
105,"BraTS20_Training_318,BraTS20_Training_146"
106,"BraTS20_Training_355,BraTS20_Training_323"
107,"BraTS20_Training_328,BraTS20_Training_224"
108,"BraTS20_Training_330,BraTS20_Training_164"
109,"BraTS20_Training_073,BraTS20_Training_206"
110,"BraTS20_Training_035,BraTS20_Training_234"
111,"BraTS20_Training_021,BraTS20_Training_148"
112,"BraTS20_Training_196,BraTS20_Training_198"
113,"BraTS20_Training_158,BraTS20_Training_042"
114,"BraTS20_Training_049,BraTS20_Training_159"
115,"BraTS20_Training_029,BraTS20_Training_119"
116,"BraTS20_Training_220,BraTS20_Training_154"
117,"BraTS20_Training_316,BraTS20_Training_153"
118,"BraTS20_Training_145,BraTS20_Training_315"
119,"BraTS20_Training_296,BraTS20_Training_307"
120,"BraTS20_Training_071,BraTS20_Training_064"
121,"BraTS20_Training_246,BraTS20_Training_305"
122,"BraTS20_Training_172,BraTS20_Training_292"
123,"BraTS20_Training_180,BraTS20_Training_203"
124,"BraTS20_Training_260,BraTS20_Training_332"
